"","Year","Region","MPA_Group","Designation","Longitude","Latitude","Acorn.barnacle","Aggregated.nipple.sponge","Basket.star","Bat.star","Bat.star.red.sea.star.complex","Benthic.siphonophore","Blood.star","Boot.sponge","Brown.box.crab","Brown.gorgonian","California.golden.gorgonian","California.hydrocoral","California.market.squid","California.mussel","California.sea.cucumber","California.spiny.lobster","Chesnut.cowrie","Clown.nudibranch","Colonial.cup.coral","Cookie.star","Crested.star","Crowned.sea.urchin","Cushion.star","Dawson.s.sun.star","Decorator.crab","Deep.sea.cucumber","Diamondback.Tritonia","Dirty.marshmallow.sponge","Dungeness.crab","East.Pacfic.red.octopus","Elephant.ear.tunicate","Encrusting.hydrocoral","Feather.star","Fish.eating.star","Fish.eating.anemone","Fish.eating.star.1","Fluted.bryozoan","Fragile.pink.urchin","Freckled.pale.sea.lemon","Frilled.anemone","Giant.keyhole.limpet","Giant.Pacific.octopus","Giant.rock.scallop","Giant.spined.star","Glassy.tunicate","Gorgonian.zoanthid","Gray.puffball.sponge","Gumboot.chiton","Leather.star","Long.legged.sunflower.star","Lophelia.complex","Mantis.shrimp","Mushroom.soft.coral","Noble.sea.lemon","Northern.staghorn.bryozoan","Ochre.star","Orange.gorgonian","Orange.puffball.sponge","Orange.sea.cucumber","Orange.sea.pen","Orange.peel.nudibranch","Painted.anemone","Pelagic.red.crab","Phosphorescent.sea.pen","Pink.Tritonia","Pisaster.complex","Pleurobranchaea.californica","Puget.Sound.king.crab","Purple.gorgonian","Purple.sea.urchin","Purple.red.urchin.complex","Rainbow.star","Red.gorgonian","Red.rock.crab","Red.sea.star","Red.sea.urchin","San.Diego.scallop","Sand.star","Sand.star.spiny.sand.star.complex","Sand.rose.anemone","Sand.rose.anemone.....","Sea.star","Sea.whip","Sheep.crab","Short.red.gorgonian","Short.spined.sea.star","Slipper.sea.cucumber","Solaster.sun.star.complex","Southern.staghorn.bryozoan","Spanish.shawl.nudibranch","Spiny.lithode.crab","Spiny.red.star","Spiny.sand.star","Spiny.thorny.star.complex","Spot.prawn","Stalked.tunicate","Stimpson.s.sun.star","Stubby.rose.anemone","Sunflower.star","Sunflower.star.complex","Swimming.anemone","Swimming.nudibranch","Thorny.sea.star","Trumpet.sponge","UI.anemone","UI.anemone.1","UI.anemone.2","UI.anemone.3","UI.anemone.4","UI.anemone.5","UI.anemone.6","UI.boot.sponge","UI.brachiopoda","UI.branched.bryozoan","UI.branched.sea.cucumber","UI.branched.sponge","UI.brittle.stars.","UI.Cancer.sp.","UI.carpet.worm","UI.crab","UI.feather.star","UI.gorgonian","UI.gray.gorgonian","UI.Henricia","UI.laced.sponge","UI.laced.lobed.bryozoan","UI.lobed.sponge","UI.lobed.sponge.tunicate","UI.nipple.sponge","UI.nudibranch","UI.octopus","UI.prawn","UI.red.Swiftia.gorgonian","UI.salp","UI.sand.dwelling.anemone","UI.scallop","UI.sea.pen","UI.sea.star","UI.squat.lobster","UI.tube.dwelling.anemone","UI.tubeworm","UI.tunicate","UI.vase.sponge","UI.whelk","UI.White.Branching.Sponge","UI.white.lobed.sponge","UI.White.slipped.sea.cucumber","UI.yellow.boot.sponge","UI.yellow.gorgonian","Warty.sea.cucumber","White.branched.sea.cucumber","White.sea.pen","White.sea.pen.....","White.sea.urchin","White.spine.sea.cucumber","White.plumed.anemone","White.spotted.rose.anemone"
"11",2008,"Central","Point Lobos","Reference",-121.988033214286,36.5707652417857,0,0,0,14,63,0,0,0,0,0,0,38.9,0,0,3,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,22,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,331.3,0,89,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,93,0,0,0,0,0,0,0,8,0,0,0,237.4,359.3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"12",2016,"Central","Point Lobos","MPA",-121.960627245455,36.504526889697,0,0,1,122,0,0,0,0,0,0,0,217,0,0,383,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,1,0,0,11,0,2,0,0,0,0,0,0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,257,0,100,48,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,126,0,27,0,1,0,0,0,0,0,35,0,0,0,1753.8,210,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,36,0,0,0,0,0
"13",2016,"Central","Point Lobos","Reference",-121.990032534286,36.5713270137143,0,0,0,94,1,0,0,0,0,0,0,170,0,0,142,0,0,0,0,4,0,0,0,0,2,0,0,1,0,1,4,0,0,0,44,0,0,0,0,0,0,0,1,6,0,0,9,0,3,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,1562,0,0,286,0,66,594,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,24,0,4,0,0,0,0,0,0,0,22,0,0,0,231,360,0,0,0,0,0,0,0,0,3,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,731.2,0,0,4
"14",2019,"Central","Point Lobos","MPA",-121.962100471429,36.5099632692857,3,0,1,213,0,0,0,0,0,0,0,597.13,0,0,1274,0,0,0,0,46,0,0,4,0,20,0,0,1,0,0,0,0,0,0,43,0,0,0,0,0,0,0,45,1,0,0,17,0,10,0,0,0,0,0,76.02,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,7,2,0,209,77.32,0,24,0,28,0,0,0,0,760.3,0,198,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,37,0,473.22,0,45,0,0,0,0,0,0,0,191,0,0,1903.55,0,374.72,0,0,0,0,0,0,0,0,4,0,0,5,0,0,7,0,0,0,0,0,0,0,23,0,9,0,1,0
"15",2019,"Central","Point Lobos","Reference",-121.987480768889,36.5704403368889,0,0,0,407,0,0,0,0,0,0,0,1080.05,0,0,1269,0,0,0,0,135,0,0,1,0,24,0,0,15,0,0,0,0,0,3,56,0,0,0,0,0,0,0,15,2,0,0,22,0,24,0,0,0,0,3,6,0,0,29,1,0,0,0,0,0,0,1,0,0,0,0,0,8,13,0,226,309.46,0,7,0,1,0,0,0,2,38,0,37,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,274.02,0,545.99,0,675.49,0,0,0,0,0,0,0,182,0,0,7544.64,0,588.18,3,0,0,0,0,0,0,0,10,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36
"16",2008,"Central","Point Sur","MPA",-121.892842378571,36.2664373928571,0,0,0,83,37,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,5,0,0,0,57,62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2008,"Central","Point Sur","Reference",-121.919935173684,36.3379911173684,0,0,0,143,26,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,35,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,70,23,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2012,"Central","Point Sur","MPA",-121.892957905263,36.2672174768421,0,139,0,512,13,0,3,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,142,0,76,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,131,0,0,0,0,0,0,0,0,0,0,0
"19",2016,"Central","Point Sur","MPA",-121.907983148,36.2670238488,0,0,0,121,2,0,0,0,0,0,0,3,0,0,32,0,0,0,0,37,0,0,1,0,1,0,0,5,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,133,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,112.8,0,0,0,0,0,0,0,37,0,0,0,68,40,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"20",2016,"Central","Point Sur","Reference",-121.921432733333,36.3386436088889,0,0,0,164,0,0,0,0,0,0,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,15,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,36,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"21",2019,"Central","Point Sur","MPA",-121.905409691176,36.2671895364706,0,0,4,724,0,0,0,0,0,0,0,767.35,0,0,230,0,0,0,0,368,0,0,5,0,0,0,0,11,0,0,2,0,0,2,55,0,0,1,0,0,0,0,8,0,0,0,46,0,19,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,423,0,0,0,0,11,0,0,0,0,556.21,0,34,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,12,0,0,0,282.01,0,0,0,0,0,0,0,152,0,0,394.96,0,341.07,8,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"22",2019,"Central","Point Sur","Reference",-121.926088402326,36.3381421604651,0,0,0,581,0,0,0,0,0,0,0,236,0,0,330,0,0,0,0,32,0,0,4,0,0,0,0,23,0,0,0,0,0,0,103,0,0,0,0,0,0,0,7,0,0,0,39,0,17,0,0,0,0,3,0,0,0,122,1,0,0,0,0,0,0,0,0,0,2,3,0,36,8,0,86,0,0,16,0,20.01,0,0,2,1,392,0,55,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,11,0,155.98,0,561.02,0,0,0,0,0,0,0,316,0,0,969.73,0,138,3,0,0,0,0,0,0,0,11,0,0,0,1,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0
